bookmaker,league,market,subject,label,line,odds,impl_prb
BetRivers,NBA,Total Triple Doubles,Cade Cunningham,Over,0.5,11.5,0.087
Unibet,NBA,Total Triple Doubles,Cade Cunningham,Over,0.5,11.5,0.087
FanDuel,NBA,Total Triple Doubles,Cade Cunningham,Over,0.5,10.5,0.0952
Fanatics,NBA,Total Triple Doubles,Cade Cunningham,Over,0.5,10.5,0.0952
Bovada,NBA,Total Triple Doubles,Cade Cunningham,Over,0.5,10.5,0.0952
Fanatics,NBA,Total Triple Doubles,LaMelo Ball,Over,0.5,26.0,0.0385
Fanatics,NBA,Total Triple Doubles,Scottie Barnes,Over,0.5,16.0,0.0625
FanDuel,NBA,Total Triple Doubles,Scottie Barnes,Over,0.5,14.0,0.0714
Bovada,NBA,Total Triple Doubles,Scottie Barnes,Over,0.5,12.0,0.0833
Bovada,NBA,Total Triple Doubles,Goga Bitadze,Over,0.5,56.0,0.0179
BetRivers,NBA,Total Triple Doubles,Dejounte Murray,Over,0.5,13.0,0.0769
Unibet,NBA,Total Triple Doubles,Dejounte Murray,Over,0.5,13.0,0.0769
Fanatics,NBA,Total Triple Doubles,Dejounte Murray,Over,0.5,10.5,0.0952
FanDuel,NBA,Total Triple Doubles,Dejounte Murray,Over,0.5,10.0,0.1
Fanatics,NBA,Total Triple Doubles,Josh Hart,Over,0.5,12.0,0.0833
FanDuel,NBA,Total Triple Doubles,Josh Hart,Over,0.5,13.0,0.0769
Fanatics,NBA,Total Triple Doubles,Jayson Tatum,Over,0.5,20.0,0.05
FanDuel,NBA,Total Triple Doubles,Jayson Tatum,Over,0.5,24.0,0.0417
Bovada,NBA,Total Triple Doubles,Jayson Tatum,Over,0.5,23.0,0.0435
Fanatics,NBA,Total Triple Doubles,Alperen Sengün,Over,0.5,15.0,0.0667
FanDuel,NBA,Total Triple Doubles,Alperen Sengün,Over,0.5,17.0,0.0588
Bovada,NBA,Total Triple Doubles,Alperen Sengün,Over,0.5,19.0,0.0526
Bovada,NBA,Total Triple Doubles,Fred VanVleet,Over,0.5,71.0,0.0141
Fanatics,NBA,Total Triple Doubles,Nikola Jokic,Over,0.5,2.6,0.3846
Fanatics,NBA,Total Triple Doubles,Victor Wembanyama,Over,0.5,15.0,0.0667
BetRivers,NBA,Total Triple Doubles,Domantas Sabonis,Over,0.5,10.5,0.0952
Unibet,NBA,Total Triple Doubles,Domantas Sabonis,Over,0.5,10.5,0.0952
FanDuel,NBA,Total Triple Doubles,Domantas Sabonis,Over,0.5,8.5,0.1176
FanDuel,NBA,Total Triple Doubles,Desmond Bane,Over,0.5,24.0,0.0417
FanDuel,NBA,Total Triple Doubles,De'Aaron Fox,Over,0.5,66.0,0.0152
FanDuel,NBA,Total Triple Doubles,Scotty Pippen Jr.,Over,0.5,71.0,0.0141
BetRivers,NBA,Total Triple Doubles,LeBron James,Over,0.5,8.0,0.125
FanDuel,NBA,Total Triple Doubles,LeBron James,Over,0.5,7.0,0.1429
Unibet,NBA,Total Triple Doubles,LeBron James,Over,0.5,8.0,0.125
Bovada,NBA,Total Triple Doubles,LeBron James,Over,0.5,6.0,0.1667
FanDuel,NBA,Total Triple Doubles,Austin Reaves,Over,0.5,31.0,0.0323
Bovada,NBA,Total Triple Doubles,Austin Reaves,Over,0.5,21.0,0.0476
FanDuel,NBA,Total Triple Doubles,Anthony Davis,Over,0.5,48.0,0.0208
Bovada,NBA,Total Triple Doubles,Anthony Davis,Over,0.5,51.0,0.0196
HardRock,NCAAB,Steals,Ryan Conwell,Over,1.5,2.65,0.3774
HardRock,NCAAB,Steals,Ryan Conwell,Under,1.5,1.45,0.6897
HardRock,NCAAB,Steals,Dailyn Swain,Over,1.5,2.25,0.4444
HardRock,NCAAB,Steals,Dailyn Swain,Under,1.5,1.59,0.6289
HardRock,NCAAB,Steals,Dayvion McKnight,Over,1.5,2.2,0.4545
HardRock,NCAAB,Steals,Dayvion McKnight,Under,1.5,1.65,0.6061
Dabble,NCAAB,Steals,Marcus Foster,Over,1.0,1.83,0.5464
HardRock,NCAAB,Steals,Marcus Foster,Over,0.5,1.42,0.7042
Dabble,NCAAB,Steals,Marcus Foster,Under,1.0,1.83,0.5464
HardRock,NCAAB,Steals,Marcus Foster,Under,0.5,2.75,0.3636
