bookmaker,ev,impl_prb,label,league,line,market,odds,subject,true_prb
Sleeper,0.226,0.4785,Over,NFL,4.5,Total Tackles,2.09,Joey Porter Jr.,0.5865790708587517
ESPNBet,0.2249,0.1667,Over,NHL,0.5,Total Player Goals,6.0,Ilya Mikheyev,0.2041506244717814
DraftKings,0.2249,0.1667,Over,NHL,0.5,Total Player Goals,6.0,Ilya Mikheyev,0.2041506244717814
Fanatics,0.2147,0.1681,Over,NHL,0.5,Total Player Goals,5.95,Ilya Mikheyev,0.2041506244717814
HardRock,0.1739,0.1739,Over,NHL,0.5,Total Player Goals,5.75,Ilya Mikheyev,0.2041506244717814
Bovada,0.1739,0.1739,Over,NHL,0.5,Total Player Goals,5.75,Colton Dach,0.2041506244717814
BetRivers,0.1432,0.1786,Over,NHL,0.5,Total Player Goals,5.6,Colton Dach,0.2041506244717814
Unibet,0.1432,0.1786,Over,NHL,0.5,Total Player Goals,5.6,Colton Dach,0.2041506244717814
DraftKings,0.1229,0.2778,Over,NHL,0.5,Total Player Goals,3.6,Sidney Crosby,0.31190342504211116
Pinnacle,0.1085,0.1842,Over,NHL,0.5,Total Player Goals,5.43,Colton Dach,0.2041506244717814
Fliff,0.1024,0.1852,Over,NHL,0.5,Total Player Goals,5.4,Ilya Mikheyev,0.2041506244717814
Dabble,0.1021,0.5464,Over,NFL,2.5,Total Receptions,1.83,Marvin Mims,0.6022586021013634
Pinnacle,0.0917,0.2857,Over,NHL,0.5,Total Player Goals,3.5,Sidney Crosby,0.31190342504211116
DraftKings,0.0905,0.1905,Over,NHL,0.5,Total Player Goals,5.25,Claude Giroux,0.20772179115639897
Fanatics,0.0823,0.198,Over,NHL,0.5,Total Player Goals,5.05,Brandon Saad,0.21431265321516124
Unibet,0.075,0.4651,Under,NFL,0.5,Total Sacks,2.15,Kyle Van Noy,0.5
ESPNBet,0.0716,0.2,Over,NHL,0.5,Total Player Goals,5.0,Brandon Saad,0.21431265321516124
Pinnacle,0.0673,0.2008,Over,NHL,0.5,Total Player Goals,4.98,Brandon Saad,0.21431265321516124
Bovada,0.0644,0.4545,Under,NFL,25.5,Longest Reception,2.2,George Pickens,0.48383500557413606
BetRivers,0.062,0.5464,Under,NBA,6.5,Assists,1.83,Josh Hart,0.5803328006016735
Unibet,0.062,0.5464,Under,NBA,6.5,Assists,1.83,Josh Hart,0.5803328006016735
SugarHouse,0.062,0.5464,Under,NBA,6.5,Assists,1.83,Josh Hart,0.5803328006016735
DraftKings,0.0614,0.2273,Over,NHL,0.5,Total Player Goals,4.4,Jake Neighbours,0.24122683225138775
Unibet,0.0599,0.5882,Under,NFL,0.5,Total Sacks,1.7,Jonathan Greenard,0.6234585333709874
ESPNBet,0.0596,0.1538,Over,NFL,0.5,Total Sacks,6.5,Patrick Queen,0.16301087364079492
Bovada,0.0581,0.4878,Over,NBA,37.5,Points + Assists,2.05,Cade Cunningham,0.5161649944258639
SugarHouse,0.055,0.4762,Over,NBA,8.5,Rebounds + Assists,2.1,Carlton Carrington,0.5023682687068249
Unibet,0.055,0.4762,Over,NBA,8.5,Rebounds + Assists,2.1,Carlton Carrington,0.5023682687068249
BetRivers,0.055,0.4762,Over,NBA,8.5,Rebounds + Assists,2.1,Carlton Carrington,0.5023682687068249
