batch_num,batch_timestamp,collection_timestamp,date,bookmaker,league,market,subject,label,line,odds,_id,impl_prb,tw_prb,ev,ev_formula
6,2025-01-11 21:51:53.607251,2025-01-11 21:53:25.888409,2025-01-11,Caesars,NBA,3-Pointers Made,Joel Embiid,Over,1.5,3.0,Caesars:NBA:3-Pointers Made:Joel Embiid:Over,0.3333333333333333,0.37128712871287123,0.11386138613861363,sully
6,2025-01-11 21:51:53.607251,2025-01-11 21:53:25.884692,2025-01-11,Dabble,NBA,3-Pointers Made,Karl-Anthony Towns,Over,1.5,1.83,Dabble:NBA:3-Pointers Made:Karl-Anthony Towns:Over,0.5464480874316939,0.5919123747645791,0.08319964581917988,sully
6,2025-01-11 21:51:53.607251,2025-01-11 21:53:25.488618,2025-01-11,Fliff,NBA,Assists,Pascal Siakam,Over,2.5,2.1,Fliff:NBA:Assists:Pascal Siakam:Over,0.47619047619047616,0.5,0.050000000000000044,sully
6,2025-01-11 21:51:53.607251,2025-01-11 21:53:24.785599,2025-01-11,Caesars,NBA,Rebounds,Giannis Antetokounmpo,Over,11.5,2.08,Caesars:NBA:Rebounds:Giannis Antetokounmpo:Over,0.4807692307692307,0.502951852346397,0.04613985288050593,sully
6,2025-01-11 21:51:53.607251,2025-01-11 21:53:24.787031,2025-01-11,Caesars,NBA,Rebounds,Damian Lillard,Over,3.5,2.12,Caesars:NBA:Rebounds:Damian Lillard:Over,0.4716981132075471,0.4931617936366531,0.045503002509704515,sully
6,2025-01-11 21:51:53.607251,2025-01-11 21:53:24.788360,2025-01-11,Dabble,NBA,Rebounds,Mikal Bridges,Over,2.5,1.83,Dabble:NBA:Rebounds:Mikal Bridges:Over,0.5464480874316939,0.568729876933744,0.04077567478875155,sully
6,2025-01-11 21:51:53.607251,2025-01-11 21:53:25.577348,2025-01-11,DraftKings,NBA,Points,Dereck Lively II,Under,9.5,2.0,DraftKings:NBA:Points:Dereck Lively II:Under,0.5,0.5187253849052369,0.037450769810473794,sully
6,2025-01-11 21:51:53.607251,2025-01-11 21:53:24.787063,2025-01-11,HardRock,NBA,Rebounds,Damian Lillard,Over,3.5,2.1,HardRock:NBA:Rebounds:Damian Lillard:Over,0.47619047619047616,0.4931617936366531,0.03563976663697144,sully
6,2025-01-11 21:51:53.607251,2025-01-11 21:53:24.785607,2025-01-11,DraftKings,NBA,Rebounds,Giannis Antetokounmpo,Over,11.5,2.05,DraftKings:NBA:Rebounds:Giannis Antetokounmpo:Over,0.48780487804878053,0.502951852346397,0.031051297310113912,sully
6,2025-01-11 21:51:53.607251,2025-01-11 21:53:24.787534,2025-01-11,DraftKings,NBA,Rebounds,Jamal Murray,Under,3.5,1.8,DraftKings:NBA:Rebounds:Jamal Murray:Under,0.5555555555555556,0.572599749051869,0.03067954829336411,sully
6,2025-01-11 21:51:53.607251,2025-01-11 21:53:24.788382,2025-01-11,Caesars,NBA,Rebounds,Mikal Bridges,Over,2.5,1.8,Caesars:NBA:Rebounds:Mikal Bridges:Over,0.5555555555555556,0.568729876933744,0.02371377848073919,sully
6,2025-01-11 21:51:53.607251,2025-01-11 21:53:25.533167,2025-01-11,PrizePicks,NBA,Rebounds + Assists,Jamal Murray,Under,9.5,1.85,PrizePicks:NBA:Rebounds + Assists:Jamal Murray:Under,0.5405405405405405,0.5529061109011619,0.022876305167149613,sully
6,2025-01-11 21:51:53.607251,2025-01-11 21:53:25.887872,2025-01-11,Dabble,NBA,3-Pointers Made,Tristan da Silva,Over,1.5,1.83,Dabble:NBA:3-Pointers Made:Tristan da Silva:Over,0.5464480874316939,0.5587970455345278,0.022598593328185923,sully
6,2025-01-11 21:51:53.607251,2025-01-11 21:53:25.888938,2025-01-11,DraftKings,NBA,3-Pointers Made,Alex Sarr,Under,1.5,1.60240964,DraftKings:NBA:3-Pointers Made:Alex Sarr:Under,0.624060149812878,0.636688850986458,0.020236352501223853,sully
6,2025-01-11 21:51:53.607251,2025-01-11 21:53:24.785683,2025-01-11,DraftKings,NBA,Rebounds,Josh Hart,Over,9.5,2.0,DraftKings:NBA:Rebounds:Josh Hart:Over,0.5,0.5096815835890499,0.019363167178099827,sully
6,2025-01-11 21:51:53.607251,2025-01-11 21:53:24.788576,2025-01-11,HardRock,NBA,Rebounds,Jalen Brunson,Over,2.5,1.71428571,HardRock:NBA:Rebounds:Jalen Brunson:Over,0.5833333347916667,0.5906725246279857,0.012581468259378947,sully
