bookmaker,ev,impl_prb,label,league,line,market,odds,subject,true_prb
Pinnacle,0.0258,0.4716981132075471,Under,NFL,15.5,Total Receiving Yards,2.12,Cole Kmet,0.48387096774193555
Pinnacle,-0.0017,0.5154639175257733,Over,NBA,53.5,Points + Rebounds + Assists,1.94,Nikola Jokic,0.5145888594164455
Pinnacle,-0.0017,0.5154639175257733,Over,NBA,53.5,Points + Rebounds + Assists,1.94,Nikola Jokic,0.5145888594164455
DraftKings,-0.0033,0.53475935828877,Under,NBA,16.5,Points + Rebounds,1.87,Jaden McDaniels,0.5329815303430079
BetMGM,-0.0033,0.53475935828877,Under,NBA,16.5,Points + Rebounds,1.87,Jaden McDaniels,0.5329815303430079
DraftKings,-0.0033,0.53475935828877,Under,NBA,16.5,Points + Rebounds,1.87,Jaden McDaniels,0.5329815303430079
HardRock,-0.0033,0.53475935828877,Under,NBA,16.5,Points + Rebounds,1.87,Jaden McDaniels,0.5329815303430079
HardRock,-0.0033,0.53475935828877,Under,NBA,16.5,Points + Rebounds,1.87,Jaden McDaniels,0.5329815303430079
BetMGM,-0.0033,0.53475935828877,Under,NBA,16.5,Points + Rebounds,1.87,Jaden McDaniels,0.5329815303430079
PrizePicks,-0.014,0.5405405405405405,Under,NBA,16.5,Points + Rebounds,1.85,Jaden McDaniels,0.5329815303430079
PrizePicks,-0.014,0.5405405405405405,Under,NBA,16.5,Points + Rebounds,1.85,Jaden McDaniels,0.5329815303430079
DraftKings,-0.0244,0.6060606060606061,Over,NHL,3.5,Total Shots on Goal,1.65,Jack Hughes,0.5912596401028277
DraftKings,-0.0244,0.6060606060606061,Over,NHL,3.5,Total Shots on Goal,1.65,Jack Hughes,0.5912596401028277
Fliff,-0.0246,0.5464480874316939,Under,NBA,16.5,Points + Rebounds,1.83,Jaden McDaniels,0.5329815303430079
Dabble,-0.0246,0.5464480874316939,Under,NBA,16.5,Points + Rebounds,1.83,Jaden McDaniels,0.5329815303430079
Dabble,-0.0246,0.5464480874316939,Under,NBA,16.5,Points + Rebounds,1.83,Jaden McDaniels,0.5329815303430079
Fliff,-0.0246,0.5464480874316939,Under,NBA,16.5,Points + Rebounds,1.83,Jaden McDaniels,0.5329815303430079
BetRivers,-0.0296,0.6369426751592356,Under,NHL,2.5,Total Shots on Goal,1.57,Mikael Granlund,0.6180904522613065
Unibet,-0.0296,0.6369426751592356,Under,NHL,2.5,Total Shots on Goal,1.57,Mikael Granlund,0.6180904522613065
Unibet,-0.0296,0.6369426751592356,Under,NHL,2.5,Total Shots on Goal,1.57,Mikael Granlund,0.6180904522613065
BetRivers,-0.0296,0.6369426751592356,Under,NHL,2.5,Total Shots on Goal,1.57,Mikael Granlund,0.6180904522613065
BetRivers,-0.0303,0.6097560975609756,Over,NHL,3.5,Total Shots on Goal,1.64,Jack Hughes,0.5912596401028277
BetRivers,-0.0303,0.6097560975609756,Over,NHL,3.5,Total Shots on Goal,1.64,Jack Hughes,0.5912596401028277
Unibet,-0.0303,0.6097560975609756,Over,NHL,3.5,Total Shots on Goal,1.64,Jack Hughes,0.5912596401028277
Unibet,-0.0303,0.6097560975609756,Over,NHL,3.5,Total Shots on Goal,1.64,Jack Hughes,0.5912596401028277
DraftKings,-0.0323,0.5,Under,NFL,15.5,Total Receiving Yards,2.0,Cole Kmet,0.48387096774193555
Unibet,-0.0348,0.53475935828877,Over,NFL,15.5,Total Receiving Yards,1.87,Cole Kmet,0.5161290322580646
Bovada,-0.0348,0.53475935828877,Over,NFL,16.5,Total Receiving Yards,1.87,Cole Kmet,0.5161290322580646
STNSports,-0.0348,0.53475935828877,Over,NFL,15.5,Total Receiving Yards,1.87,Cole Kmet,0.5161290322580646
SugarHouse,-0.0348,0.53475935828877,Over,NFL,15.5,Total Receiving Yards,1.87,Cole Kmet,0.5161290322580646
BetRivers,-0.0348,0.53475935828877,Over,NFL,15.5,Total Receiving Yards,1.87,Cole Kmet,0.5161290322580646
Unibet,-0.0348,0.53475935828877,Over,NFL,15.5,Total Receiving Yards,1.87,Cole Kmet,0.5161290322580646
STNSports,-0.0348,0.53475935828877,Over,NFL,15.5,Total Receiving Yards,1.87,Cole Kmet,0.5161290322580646
BetRivers,-0.0348,0.53475935828877,Over,NFL,15.5,Total Receiving Yards,1.87,Cole Kmet,0.5161290322580646
Bovada,-0.0348,0.53475935828877,Over,NFL,16.5,Total Receiving Yards,1.87,Cole Kmet,0.5161290322580646
SugarHouse,-0.0348,0.53475935828877,Over,NFL,15.5,Total Receiving Yards,1.87,Cole Kmet,0.5161290322580646
ESPNBet,-0.0374,0.5235602094240838,Over,NBA,38.5,Points + Rebounds + Assists,1.91,Cade Cunningham,0.5039787798408488
BetMGM,-0.0374,0.5235602094240838,Over,NBA,38.5,Points + Rebounds + Assists,1.91,Cade Cunningham,0.5039787798408488
ESPNBet,-0.0374,0.5235602094240838,Over,NBA,38.5,Points + Rebounds + Assists,1.91,Cade Cunningham,0.5039787798408488
BetMGM,-0.0374,0.5235602094240838,Over,NBA,38.5,Points + Rebounds + Assists,1.91,Cade Cunningham,0.5039787798408488
HardRock,-0.0374,0.5235602094240838,Over,NBA,38.5,Points + Rebounds + Assists,1.91,Cade Cunningham,0.5039787798408488
HardRock,-0.0374,0.5235602094240838,Over,NBA,38.5,Points + Rebounds + Assists,1.91,Cade Cunningham,0.5039787798408488
BetMGM,-0.0422,0.6172839506172839,Over,NHL,3.5,Total Shots on Goal,1.62,Jack Hughes,0.5912596401028277
Pinnacle,-0.0422,0.6172839506172839,Over,NHL,3.5,Total Shots on Goal,1.62,Jack Hughes,0.5912596401028277
BetMGM,-0.0422,0.6172839506172839,Over,NHL,3.5,Total Shots on Goal,1.62,Jack Hughes,0.5912596401028277
Fanatics,-0.0422,0.6172839506172839,Over,NHL,3.5,Total Shots on Goal,1.62,Jack Hughes,0.5912596401028277
HardRock,-0.0422,0.6172839506172839,Over,NHL,3.5,Total Shots on Goal,1.62,Jack Hughes,0.5912596401028277
ESPNBet,-0.0422,0.6172839506172839,Over,NHL,3.5,Total Shots on Goal,1.62,Jack Hughes,0.5912596401028277
HardRock,-0.0422,0.6172839506172839,Over,NHL,3.5,Total Shots on Goal,1.62,Jack Hughes,0.5912596401028277
ESPNBet,-0.0422,0.6172839506172839,Over,NHL,3.5,Total Shots on Goal,1.62,Jack Hughes,0.5912596401028277
Pinnacle,-0.0422,0.6172839506172839,Over,NHL,3.5,Total Shots on Goal,1.62,Jack Hughes,0.5912596401028277
Fanatics,-0.0422,0.6172839506172839,Over,NHL,3.5,Total Shots on Goal,1.62,Jack Hughes,0.5912596401028277
